tag,tag_type,dyscalculia_relevance,research_source,usage_count,sources
machine learning,supportive,"Machine learning techniques can be used to develop models for predicting, diagnosing, and understanding dyscalculia by analyzing patterns in data.","Ali, 2025, Developing an explainable machine learning and fog computing-based visual rating scale for the prediction of dementia progression",2,Ali2025.pdf; Alkahtani2025.pdf
cognitive impairment,direct,Dyscalculia is a specific type of cognitive impairment related to difficulties in understanding numbers and learning math facts.,"Ali, 2025, Developing an explainable machine learning and fog computing-based visual rating scale for the prediction of dementia progression",1,Ali2025.pdf
early detection,direct,Early detection of dyscalculia is crucial for providing timely interventions and support to affected individuals.,"Ali, 2025, Developing an explainable machine learning and fog computing-based visual rating scale for the prediction of dementia progression",2,Ali2025.pdf
mental test scores,direct,"Mental test scores are often used to assess cognitive abilities, including mathematical skills, and can indicate the presence of dyscalculia.","Ali, 2025, Developing an explainable machine learning and fog computing-based visual rating scale for the prediction of dementia progression",1,Ali2025.pdf
fog computing,supportive,"Fog computing can be used to process and analyze data closer to the source, which might be relevant in scenarios where real-time data analysis is needed for early detection or intervention in dyscalculia.","Ali, 2025, Developing an explainable machine learning and fog computing-based visual rating scale for the prediction of dementia progression",1,Ali2025.pdf
natural products,supportive,"Refers to the use of natural substances in drug discovery, which may have implications for treating cognitive disabilities like dyscalculia.","Albratty, 2025, Natural Products for Drug Discovery in Cognitive Disabilities: Bibliometric Hotspots, Research Trends, Conceptual Framework, and Future Directions",2,Albratty2025.pdf
cognitive disabilities,direct,Dyscalculia is a type of cognitive disability specifically affecting mathematical abilities.,"Albratty, 2025, Natural Products for Drug Discovery in Cognitive Disabilities: Bibliometric Hotspots, Research Trends, Conceptual Framework, and Future Directions",2,Albratty2025.pdf
bibliometric analysis,supportive,"A method used to analyze scientific literature, providing insights into research trends and hotspots relevant to dyscalculia.","Albratty, 2025, Natural Products for Drug Discovery in Cognitive Disabilities: Bibliometric Hotspots, Research Trends, Conceptual Framework, and Future Directions",2,Albratty2025.pdf
neuroprotection,supportive,"Refers to strategies or treatments that protect neural function, which could be relevant for cognitive disabilities including dyscalculia.","Albratty, 2025, Natural Products for Drug Discovery in Cognitive Disabilities: Bibliometric Hotspots, Research Trends, Conceptual Framework, and Future Directions",1,Albratty2025.pdf
emerging trends,supportive,Indicates new directions or developments in research that may impact the understanding or treatment of dyscalculia.,"Albratty, 2025, Natural Products for Drug Discovery in Cognitive Disabilities: Bibliometric Hotspots, Research Trends, Conceptual Framework, and Future Directions",1,Albratty2025.pdf
Alzheimerâ€™s disease,supportive,"A neurodegenerative disease that involves cognitive decline, providing a broader context for understanding cognitive disabilities.","Albratty, 2025, Natural Products for Drug Discovery in Cognitive Disabilities: Bibliometric Hotspots, Research Trends, Conceptual Framework, and Future Directions",1,Albratty2025.pdf
human activity recognition,supportive,"Human activity recognition (HAR) provides context for understanding how individuals with dyscalculia interact with their environment, which can be crucial for developing targeted interventions.","Alkahtani, 2025, Dual Attention-Based recurrent neural network and Two-Tier optimization algorithm for human activity recognition in individuals with disabilities",2,Alkahtani2025.pdf
disabilities,direct,"Dyscalculia is a specific learning disability in math, making this tag directly relevant as it encompasses the population affected by dyscalculia.","Alkahtani, 2025, Dual Attention-Based recurrent neural network and Two-Tier optimization algorithm for human activity recognition in individuals with disabilities",1,Alkahtani2025.pdf
assistive technology,supportive,"Assistive technology offers methods and tools to help individuals with dyscalculia, making it relevant for supporting those with math learning disabilities.","Alkahtani, 2025, Dual Attention-Based recurrent neural network and Two-Tier optimization algorithm for human activity recognition in individuals with disabilities",2,Alkahtani2025.pdf
sensor-based HAR,supportive,"Sensor-based HAR can provide detailed data on the activities and behaviors of individuals with dyscalculia, aiding in the development of more effective interventions.","Alkahtani, 2025, Dual Attention-Based recurrent neural network and Two-Tier optimization algorithm for human activity recognition in individuals with disabilities",1,Alkahtani2025.pdf
cognitive impairments,supportive,"Cognitive impairments can include dyscalculia, a specific learning disability in mathematics, thus providing context to the types of impairments that can be screened or studied.","Name, 2025, Early Prediction of Cortical and Subcortical Diseases Using a Novel Screening Test",1,Ali2025.pdf
screening test,supportive,"A screening test is a methodology used to identify potential cognitive impairments, including dyscalculia, early on.","Name, 2025, Early Prediction of Cortical and Subcortical Diseases Using a Novel Screening Test",1,Ali2025.pdf
Alzheimer's disease,supportive,"Alzheimer's disease is a cortical disease that can cause cognitive impairments, providing context to the types of diseases the screening test aims to predict.","Name, 2025, Early Prediction of Cortical and Subcortical Diseases Using a Novel Screening Test",1,Ali2025.pdf
Parkinson's disease,supportive,"Parkinson's disease is a subcortical disease that can cause cognitive impairments, providing context to the types of diseases the screening test aims to predict.","Name, 2025, Early Prediction of Cortical and Subcortical Diseases Using a Novel Screening Test",1,Ali2025.pdf
neuropharmacology,supportive,"Neuropharmacology studies the effects of drugs on the nervous system, which can provide insights into the biological underpinnings of dyscalculia and potential pharmacological interventions.","specified, 2024, Therapeutic Potential of Natural Products in Cognitive Disabilities: A Bibliometric Analysis",1,Albratty2025.pdf
therapeutic innovation,supportive,"Therapeutic innovation refers to new methods or approaches in treatment, which can include novel interventions for cognitive disabilities like dyscalculia.","specified, 2024, Therapeutic Potential of Natural Products in Cognitive Disabilities: A Bibliometric Analysis",1,Albratty2025.pdf
data normalization,,,,1,Alkahtani2025.pdf
feature selection,,,,1,Alkahtani2025.pdf
learning disabilities,,,,1,Alkahtani2025.pdf
